symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
U,Technology,RED,6,0.8438222842934101,-0.6537295330503334,0.9966476351752994,-0.7963856268339291,-1.4914381766043383,32.10840606338998,-0.5795348837209303,-0.5336600464276503,0
Z,Communication Services,RED,6,0.46952687657037934,-0.5257971656333039,0.5655170788768765,0.01354662501305774,-2.7530968497845447,16.59574468085107,-0.3784677303435388,-0.3924406350990586,0
QLYS,Technology,RED,6,0.47345884731464916,-0.4366059817945389,0.5493171949862731,-0.2435533142211187,-1.7279355361679538,13.841396871589666,-0.3360568921168104,-0.38659397497728376,0
CMBM,Technology,RED,6,5.624397996158834,-0.6826666666666666,-0.7108735592509722,-2.3615481526537723,1.1825968600691856,33.33333333333333,-0.22292993630573255,-0.4741379310344827,0
TENB,Technology,RED,5,0.384796255146202,-0.4367779204107822,0.6057535792618925,-0.1644322901238103,-2.6113414271102418,43.05684995340167,-0.1968844655993077,-0.28779739063699156,0
PAYX,Technology,RED,4,0.23136570144279917,-0.3507911745041241,0.18270833170511888,0.03315650155272291,-3.8276237312681958,31.820204717400983,-0.15337773549000944,-0.1933641555615991,0
MEDP,Healthcare,RED,4,0.39655713586626035,-0.32960569780370297,0.48288334180720327,0.07007704348181522,-0.20811596655650974,19.085861590323205,-0.26284755672192134,-0.2500929336622622,0
ADP,Technology,RED,4,0.2124960583001512,-0.31392966309495773,0.3786216273779143,-0.004766945586982208,-3.7655489569342335,15.993823075226118,-0.2088546306697138,-0.18784047079406738,0
SBNY,Financial Services,RED,4,1.2709568199218082,-0.49324324324324303,-0.6402199330089111,0.34986225492856093,1.0578720090241205,0.0,-0.25,0.17187499999999997,0
CTSH,Technology,RED,4,0.3284200975318085,-0.2913285416183629,0.406131507062187,0.09587291117576226,-0.8163467785028456,24.783861671469722,-0.2736557877436019,-0.1816137566137566,0
FND,Consumer Cyclical,RED,3,0.4381967927638978,-0.37193098871930996,0.0467329108724363,0.07997284144811295,-0.6074704313870413,54.73564092810957,-0.020848006761515565,0.1485459352280238,0
FOXF,Consumer Cyclical,RED,3,0.5470351890188947,-0.5542412977357216,-0.25878644268177686,-0.40294871591820625,-1.3211620032969698,55.14592933947774,-0.004697286012526089,0.37095614665708126,0
UDMY,Consumer Defensive,RED,3,0.5071406866999797,-0.38440860215053807,-0.13279633831650756,0.09298111210224379,-1.189272022323017,59.842519685039385,-0.02404809619238479,-0.03564356435643559,0
FIVN,Technology,RED,3,0.5347652355337695,-0.41483918128654956,0.33520346003455287,0.3578472808425093,-1.2663427443810824,57.83836416747808,-0.04979253112033199,-0.03273495248152064,0
RHI,Industrials,RED,3,0.5778237756572492,-0.34783798576902053,0.5790458064836954,0.263454931728229,-1.2612428360283907,26.422498364944403,-0.14966466643134482,-0.09707646176911544,0
KMB,Consumer Defensive,RED,2,0.27727572424193125,-0.2460587326120562,0.03219758386006903,0.017820684728301766,-0.9102558469054964,80.86153846153846,0.09551117263199523,0.06620477290223244,0
MTDR,Energy,RED,2,0.4114049276931295,-0.2736593059936908,0.0947983305164909,0.031230471102161803,0.19848844709870744,65.81717451523548,0.1814336075205642,0.22400779157535922,0
FBIN,Industrials,RED,2,0.45820767230078807,-0.26848313673367685,0.4855332962077454,0.07414779870577715,0.0717920691563021,49.85479186834463,-0.0026529890343119666,0.20388556789069165,0
HLI,Financial Services,RED,2,0.27507204170208216,-0.21772916966469993,0.2900196165069995,0.06237531324651024,-1.279942571613211,52.36235845372904,-0.0932676518883415,-0.042538434863021696,0
NWSA,Communication Services,RED,2,0.27923781498205,-0.2781179503706097,0.26515801522807697,0.022178613883673624,-1.6341601338291798,37.91130185979971,-0.133085501858736,-0.09225379525107048,0
ZTS,Healthcare,RED,2,0.29219838497345435,-0.2424083081372419,-0.06695324797047184,-0.08920586145543351,-1.264568923253088,62.432767894083575,0.03631375080697213,0.056606878393944224,0
HUBG,Industrials,RED,2,0.4330181265162283,-0.24500285551113635,0.4438664803037521,-0.2874063404888311,0.6483175704246885,29.73773265651441,-0.13856181665264936,0.1133152173913044,0
SYBT,Financial Services,RED,2,0.2745795818624668,-0.21902737842230288,-0.1285133057649223,0.1724017541902188,-1.418419771707474,39.96937212863706,-0.032789295691810084,0.02111145606954361,0
FFIV,Technology,RED,2,0.3706151277986544,-0.34729142990354633,-0.17361364374716923,0.1688074781722768,-0.6641836117140788,48.01121195942337,0.015703869882220934,0.15946049767382298,0
KSS,Consumer Cyclical,RED,2,0.8223026961058278,-0.31244914564686715,-0.13597384791701594,-0.7200221188246326,0.8243710504041089,49.490538573508005,0.01923076923076922,0.15291106845809332,0
EFX,Industrials,RED,2,0.3739170779622884,-0.33115543328748276,0.25753767831802865,-0.3508523035293802,-1.1462915948492924,64.6121780556796,-0.09235861811739475,-0.08699526333067573,0
TTMI,Technology,RED,2,0.7108508047714671,-0.23255234297108673,0.312072045622461,-0.171409080679677,2.9159285839539484,50.1443894389439,0.13822255098805875,0.8321143051539377,0
FLO,Consumer Defensive,RED,2,0.3420851460791238,-0.3369938229238158,0.18185728597163509,-0.25399362766666456,-2.0806392834387477,34.16666666666667,-0.10488888888888886,-0.02516940948693125,0
AMD,Technology,RED,2,0.6877325694875869,-0.27174365376612586,0.15189108931702058,0.1409478680743629,1.1543065797302632,38.75769166805255,-0.1442043691058852,0.05540288546471681,0
UI,Technology,RED,2,0.5326398665213514,-0.3442650092972312,0.15338192178458368,0.19454398524737898,1.6658229577396737,76.94891134196668,0.382070826798935,0.42991906118521594,0
