symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
GJKO,Industrial,RED,5,0.8531539760361916,-0.6863500873676636,-0.022309712580494943,0.1948671695686678,0.375322058212985,18.38068611153092,-0.627979274611399,-0.6444819852619929,-0.5759449694274597
NSCU,Consumer Discretionary,RED,5,0.5734478800344678,-0.48274740906319796,-0.11877613522317461,0.12927233560275808,-0.42045966608881413,21.06308991554893,-0.3690133862171542,-0.35579064587973275,-0.42194667756733434
RML,Industrial,RED,3,0.6016581249087583,-0.4729425774014286,-0.03514669526096098,0.15631966249861975,-0.36157590572853315,53.743977080349,-0.19215669539984637,0.12064168590540457,-0.30393058057874034
RUDF,Healthcare,RED,2,0.6914635771863343,-0.6031540543721313,0.08102905515107789,0.1836161116127745,-0.23682137754841404,80.62599228850077,0.4921065521268978,0.40572199346869214,-0.04266686005753386
GBLK,Industrial,RED,2,1.7047968154228965,-0.7855101797833076,0.11212697394976885,-0.08071037794062257,0.31520986086806074,89.57583033213285,2.044581280788177,1.203386809269162,1.6023157894736841
RX,Financial Services,RED,2,1.140995751865878,-0.6324786324786328,0.012485222340171393,-0.4258768706449278,0.2866786325668597,81.07703814510097,0.744209466263847,0.7812821391840932,0.3426356589147286
BG,Utilities,GREEN,1,0.42622381650311814,-0.05264631755810709,-0.004513015930253631,-0.09821921932543425,0.6572864022783794,56.917363045496714,0.035384998754049206,0.0719814241486068,0.07586742620403936
MXA,Healthcare,GREEN,1,0.41581270534306913,-0.05428031325951923,-0.0038733151933148468,0.010557714245902423,0.6516693730301643,52.23300970873787,0.031239795363012846,0.07506382978723398,0.08379568723903207
RB,Energy,GREEN,1,0.41064791991707544,-0.05628664495114013,0.02949565797680344,-0.18371884060856827,0.5768984823056168,55.225185832968954,0.03986847513358009,0.048777117590161685,0.06961668545659544
VG,Utilities,GREEN,1,0.4038149379118817,-0.054564055928157135,0.014328558958105848,-0.2065290052044196,0.7667876775905846,57.10966542750928,0.04476914085330214,0.035449490268767404,0.11279880478087653
VHFW,Utilities,GREEN,1,0.4041547142866649,-0.05683262100034637,-0.01888424316410241,0.13694432459501618,0.44518927071714864,49.472450175849964,0.03656018462285929,0.024735830931796376,0.09974226804123724
DIRG,Consumer Staples,GREEN,1,0.4140408574396477,-0.05323505323505329,0.008096891013550383,0.23695378587218735,0.6424348803781955,53.83635784781915,0.008513858669946132,0.021559984668455347,0.08211530653674384
