symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
AMD,Technology,RED,3,0.6401936812816571,-0.31878756205905423,0.13593461849126925,0.09801318942254789,1.3289785027570005,36.54144408064794,-0.16091679598901754,0.03479242320149182,0.29083006856023497
GIS,Consumer Defensive,RED,2,0.2444092672267101,-0.3190223508602661,0.02284092097603766,-0.0016630387877106098,-1.0023505284923464,43.92236976506641,0.015236388079766966,-0.049307595467897494,-0.05682764363030801
NKE,Consumer Cyclical,RED,2,0.41516176191860305,-0.3448146292585174,-0.20051823154085927,0.13056798957471513,-0.31176691353423336,59.731182795698935,-0.00677027234959221,0.03445512820512818,-0.17518527983644272
TSLA,Consumer Cyclical,RED,2,0.6130815112314681,-0.2673051519154563,-0.1037954391478732,0.06878999776555447,0.6145610539734393,42.31984829329963,-0.06392463235294116,0.04165281648725363,0.17536064627813033
KHC,Consumer Defensive,RED,2,0.25849778358469905,-0.272491068528741,0.1048206824865988,-0.10948698388847439,-0.6769675161084014,57.611241217798586,0.03986429177268878,-0.014865407794294938,-0.08711839166046165
CMG,Consumer Cyclical,RED,2,0.39401384099793485,-0.488152472527473,0.0379850433183264,0.06397333186283484,-0.691353067098494,40.179299103504455,-0.07452165156092651,0.16218779639582673,-0.14011695906432753
GS,Financial Services,RED,1,0.31963176239188695,-0.25723236575456465,0.022514017774247785,-0.2159119272610987,1.2843512797588512,40.73305963516319,-0.03934067349172619,0.16228041702912194,0.22423861165433587
VRTX,Healthcare,RED,1,0.34053830247101596,-0.2865540330115231,0.031360978920637085,-0.05109932212279661,0.15357576634140846,58.668300653594756,0.020950423622179366,0.14075827162808136,0.25168406438011
AAPL,Technology,RED,1,0.32393416769346317,-0.30206935805179486,0.12898378107916036,-0.011401455502417016,0.418332010969411,52.97153321125353,0.06909119410589029,0.005751364105589155,0.20319322542230858
HST,Real Estate,RED,1,0.3000728055859422,-0.2109020116807271,0.2140895677728803,-0.10032281328475356,0.9362636743393752,61.48148148148149,0.05712760277629473,0.15857226448215336,0.2080536912751678
VLO,Energy,RED,1,0.3781187233925912,-0.2235455794777825,-0.09971154031287269,0.06686418907064247,1.2180480631713206,56.698455949137156,0.08140747653290889,0.14269141531322502,0.35581555402615267
EOG,Energy,RED,1,0.2963779194240811,-0.20382215904604048,0.18673804089216314,-0.16838933199410894,-0.1074228740202216,72.96862429605785,0.1324349442379182,0.1499622499056248,0.022746348833305303
C,Financial Services,RED,1,0.3277777613142709,-0.2728439425051341,-0.041368185216396625,-0.13114539495235505,1.180327770229953,37.77536034810988,-0.0481526877954824,0.10724106324472962,0.15721128259712608
JPM,Financial Services,RED,1,0.260016100048202,-0.20055527706011658,-0.02399491764746202,0.002195867732806492,0.5835285981313617,34.55688797894116,-0.02428248737709275,-0.009943373331535622,0.0053737677984665696
KDP,Consumer Defensive,RED,1,0.26559629652772093,-0.28026391279403334,-0.14310780653226532,0.09882589342146236,-0.21985165574262577,76.09108159392791,0.10902527075812272,0.11668484187568147,0.004906771344455302
PH,Industrials,RED,1,0.3122028018464158,-0.22629004498928088,0.1908834717730905,-0.1793260668420377,1.5387507869328751,71.76805407328357,0.0992365592552427,0.2216202670612523,0.37317576993239626
GOOGL,Communication Services,GREEN,0,0.3105887941544813,-0.17420167105413764,0.1660004054682989,0.05167180804665151,1.865138045698569,24.652547981469212,-0.0725859689131609,0.03209109730848866,0.4847000048037662
SYK,Healthcare,GREEN,0,0.22152369544136633,-0.145411416619905,0.16233686875194833,0.015779205590033568,-0.014700841370854317,70.79127977392011,0.06846321922796794,0.038301347488770905,-0.01953627062875936
JNJ,Healthcare,GREEN,0,0.19002124504152756,-0.12724058041702246,0.0420647109904618,-0.10537691386921749,2.2780115292564673,74.2756183745583,0.11445211973452524,0.21830116973495872,0.40257969202795607
JCI,Industrials,GREEN,0,0.29285315418306973,-0.16582323172884525,-0.02563015214074426,0.0203623897336705,1.9752277875244437,81.12701252236133,0.2591466064134874,0.27600176133861726,0.36174812030075165
HON,Industrials,GREEN,0,0.2485998992095607,-0.16031420155315507,0.0021112125284456582,-0.08754976884397354,0.9964773804941888,73.83428379738346,0.108337854946645,0.2899694768971687,0.1859306207363685
XOM,Energy,GREEN,0,0.2494575793204482,-0.16056998870449227,0.1901003721003769,-0.10698787776018485,1.34359771402541,57.652103993567415,0.10854796565882809,0.2767841788478075,0.3494183933115231
DTE,Utilities,GREEN,0,0.17003121725045753,-0.10131662324861015,0.021608062905926453,0.007815358094006877,0.6769483986016059,73.01001581444395,0.06544676455397332,0.07320698625046446,0.061140505584949975
NEE,Utilities,GREEN,0,0.26447059619624996,-0.1582057480526455,-0.02380187281347961,0.022579763081871606,1.2842318928051966,73.70078740157481,0.10962910962910968,0.1360804983229516,0.2774784482758622
WEC,Utilities,GREEN,0,0.16020470204527937,-0.11220693831646379,0.1697562029474494,-0.012604643434344332,0.7303405969471718,62.79411764705883,0.0553410553410553,0.04164776336085658,0.09104732940505605
