symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
AAPL,Apple Inc.,Technology,272.8,4009593929728,34.49,0.39,NASDAQ,USD
GOOGL,Alphabet Inc.,Communication Services,309.07,3738819887104,28.59,0.27,NASDAQ,USD
TSLA,"Tesla, Inc.",Consumer Cyclical,407.38,1528478040064,377.16,0.0,NASDAQ,USD
JPM,JP Morgan Chase & Co.,Financial Services,293.73,792253300736,14.67,2.02,NYSE,USD
XOM,Exxon Mobil Corporation,Energy,148.49,626185863168,22.2,2.73,NYSE,USD
JNJ,Johnson & Johnson,Healthcare,246.84,594859458560,22.36,2.12,NYSE,USD
AMD,"Advanced Micro Devices, Inc.",Technology,210.87,343462346752,80.71,0.0,NASDAQ,USD
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,895.2,270995914752,17.45,2.02,NYSE,USD
NEE,"NextEra Energy, Inc.",Utilities,94.84,197601214464,28.74,2.65,NYSE,USD
C,"Citigroup, Inc.",Financial Services,108.72,194529017856,15.55,2.17,NYSE,USD
HON,Honeywell International Inc.,Industrials,245.12,165178933248,32.42,1.96,NASDAQ,USD
SYK,Stryker Corporation,Healthcare,381.42,145965121536,45.46,0.91,NYSE,USD
PH,Parker-Hannifin Corporation,Industrials,1023.73,129211645952,37.31,0.71,NYSE,USD
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,486.83,123654815744,31.82,0.0,NASDAQ,USD
NKE,"Nike, Inc.",Consumer Cyclical,64.55,95566151680,37.75,2.6,NYSE,USD
JCI,Johnson Controls International ,Industrials,144.89,88682266624,48.46,1.12,NYSE,USD
EOG,"EOG Resources, Inc.",Energy,121.85,66529296384,12.1,3.34,NYSE,USD
VLO,Valero Energy Corporation,Energy,197.0,61199695872,25.99,2.43,NYSE,USD
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,36.76,48606937088,32.25,0.0,NYSE,USD
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,30.72,41735675904,26.48,3.09,NASDAQ,USD
WEC,"WEC Energy Group, Inc.",Utilities,114.8,37362982912,23.87,3.29,NYSE,USD
DTE,DTE Energy Company,Utilities,144.4,30005825536,20.54,3.09,NYSE,USD
KHC,The Kraft Heinz Company,Consumer Defensive,24.52,29031340032,,6.52,NASDAQ,USD
GIS,"General Mills, Inc.",Consumer Defensive,45.31,24176605184,9.74,5.38,NYSE,USD
HST,"Host Hotels & Resorts, Inc.",Real Estate,19.8,13788730368,18.67,4.05,NASDAQ,USD
