symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
ZALE,Healthcare,RED,6,0.4447545175889401,-0.5036037005163512,0.02342400377717721,0.07904207442393206,-0.7079717572165402,1.1420919974795112,-0.41038318912237326,-0.45029844571833816,-0.4632408102025506
DAU,Real Estate,RED,5,0.3750625747194798,-0.5088614497721348,-0.012329591475468957,-0.054749480077014204,-0.7578245919965455,32.267818574514024,-0.25456019456830165,-0.4184323469618252,-0.49481987285142454
ZI,Healthcare,RED,4,0.41106486139733794,-0.26505237459902975,0.05820059081548775,0.043451780696396575,0.5750904021377421,42.0860958072649,-0.16426718362459733,-0.14115372220431843,-0.11274213075060534
BYF,Consumer Staples,RED,3,0.23012557498659275,-0.2286585365853658,0.01503356179262421,0.06027932284129294,-0.6264805882485849,26.173772261198067,-0.10561116723298741,-0.190305952776854,-0.04938994631527577
BWR,Energy,RED,3,0.14745414606786336,-0.3186534470832367,0.12598735477557502,-0.02674530108836009,-2.783405677163058,15.935672514619924,-0.11094407696933246,-0.14053189943322195,-0.18020515663986691
PYL,Financial Services,RED,3,0.45201388302764456,-0.44429132853570086,-0.03005336097206768,-0.0431988643885354,-0.9288121081844521,49.968474148802,-0.001272696419480788,-0.24384916811203183,-0.15035368846542516
GZD,Consumer Discretionary,RED,2,0.23430024622430454,-0.29307090860069984,-0.07346685499301997,0.0947665360571074,-0.8944894501941689,41.454272863568214,-0.010404624277456713,0.015662078785002292,-0.049205820282128256
XJQ,Healthcare,RED,2,0.36546808123175195,-0.4063925160787371,0.07709426415643113,-0.04569161939335153,-0.007263962085182402,17.98150163220889,-0.10179887938661172,-0.12627653471026976,-0.2845532274734568
VGUU,Energy,RED,2,0.2886497410164326,-0.38764808700718534,0.02166365857850651,-0.12269498929237342,-1.1316653469439686,63.73307543520313,0.0039682539682539845,-0.12456747404844289,-0.056724367509986565
CNT,Consumer Discretionary,RED,2,0.15589459316205173,-0.33297827013208436,-0.0294613392035979,0.03690515995645247,-2.409808999943696,49.22839506172837,0.02223614155966165,-0.027819145767558322,-0.15343915343915351
SZA,Consumer Staples,RED,2,0.29332698672680674,-0.26367164530165854,-0.0403970761726326,0.10071551479813841,-0.5155340876675001,61.63594470046081,-0.0033012774508397297,0.02828372575151779,0.027370912856931412
TS,Energy,RED,2,0.2654458366666592,-0.21930226169764652,-0.08614568425145391,-0.0022213779867743494,-0.5053323930139592,24.793842770753173,-0.13718210506775572,-0.004710920770878072,0.008680555555555525
CJSC,Healthcare,RED,2,0.28203962600874466,-0.3506569172954235,-0.01978905600030912,-0.06350848303915255,-0.9370154905925012,74.59321245932124,0.05460039152268284,-0.09263666654461576,-0.08789429128786483
TNR,Utilities,RED,2,0.3340411754571921,-0.3555198069575712,-0.0367900146788629,-0.08797412136913886,-0.8451779076894044,35.88657105606259,-0.029775011967448535,-0.16427511133102426,-0.25419487783338235
CNR,Industrial,RED,2,0.46962474174222174,-0.35873983739837384,0.027476329213157145,0.11454982218842374,1.0578643228707552,49.825479930191975,-0.0730123180291153,0.12228850325379603,0.747150696496412
BKMN,Energy,RED,2,0.2879703391000406,-0.3450216849681649,0.041845187222287236,0.14678335984998475,-0.39772593246929555,26.23188405797103,-0.11461567117844286,-0.20299575229152692,-0.23349817243603527
NO,Utilities,RED,2,0.27666198238150486,-0.30594346049046267,0.0807355560611834,0.08090911881291551,-0.6474780015226261,57.643040136635406,-0.006148491879350361,-0.04747609517456078,-0.10019955886986653
CJWH,Technology,RED,2,0.13901749540254812,-0.23526084069163755,0.005779285250036386,0.11826730455991648,-1.5836351250138678,48.212461695607836,-0.005035054174633473,-0.09425314032084928,-0.0737510383291799
ZFC,Materials,RED,2,0.17335500070731155,-0.20838873443732658,0.02687709472521857,-0.08193649796683909,-0.6563100132522147,50.601295097132265,-0.01961042379573584,0.059903244166192283,0.06872309899569572
MD,Industrial,RED,2,0.3615496882580989,-0.5728399291873681,-0.07342152147808498,0.11096044717315237,-0.5840379052604631,73.02606724593878,0.06063842411297021,-0.167163622810287,-0.393787303309821
NUX,Industrial,RED,1,0.24250376741056573,-0.23984903695991602,-0.12722174686768628,-0.0319018071482936,0.7093992436399283,76.16615594143684,0.10305094572070439,0.20916746107403889,0.11680974392838812
CUUU,Materials,RED,1,0.2652934598948669,-0.259354743665292,0.0023442841005818526,0.08039960949659214,-0.22420328703272344,29.87528344671199,-0.06846396146007042,-0.1723598650094658,-0.22277189456597363
PDC,Financial Services,RED,1,0.23576416952523835,-0.2165497531826447,-0.013137030770087167,-0.04446977354079859,-0.10940365096805955,38.28124999999998,-0.05091975473207136,-0.07472384665367121,-0.04863709246392304
COL,Consumer Staples,RED,1,0.2514942433574042,-0.22769479208720217,-0.08140676407522712,-0.012210307891576039,-0.14664191591397024,66.89038031319912,0.10291462470982704,-0.09079311078035303,0.046116207951070284
NN,Industrial,RED,1,0.24636721735776745,-0.20145811635173308,0.03769482850393136,-0.03911992207490715,0.7017234344099191,54.41302485004285,-0.020540369726655034,0.1091429593845053,0.051390773405698795
NUH,Utilities,RED,1,0.396985826461657,-0.3034253578732104,0.0538894310364862,0.08753186531419103,0.5379970576019449,57.953340402969246,0.027341407842667,0.19467298842560324,0.3257505416279789
XON,Utilities,RED,1,0.3157596509192842,-0.27166370824592484,-0.030082580463613486,-0.17938400844353697,0.049498499641232103,64.01384083044985,0.07945375543140913,-0.08641975308641968,0.023141792508334962
BX,Real Estate,RED,1,0.38219169197036734,-0.23983140147523682,-0.06597211923287563,0.05269927341512549,0.25965420509908466,55.55555555555559,0.04592627013630736,-0.13011272141706917,0.19757027578256642
TZM,Energy,RED,1,0.3673080180922647,-0.45386184785776684,0.036738367031030526,0.0005032737132710875,0.3749877333938391,58.218053927315324,0.11141647478273788,0.2172958021477383,0.43764411990776325
PXI,Real Estate,RED,1,0.33951835710738726,-0.2271209853804535,-0.038918226011096985,-0.04584801261699127,0.3789525175192064,54.74567383324593,0.037440625873149024,-0.07325595906651679,0.007051803634391243
ZF,Materials,RED,1,0.3719528379449737,-0.2609554597701151,-0.04673366667214605,0.1425530259630606,0.831672190883864,52.2689075630252,-0.00018566654288893446,0.27546186641402187,0.06591448931116385
TFJ,Materials,RED,1,0.38820408323922245,-0.2482928161704452,-0.05001891292894105,0.1695625910354136,1.9188362574320332,60.74766355140188,0.07969674556213022,0.366807116104869,0.7033255542590431
SZC,Consumer Staples,RED,1,0.3451190018279237,-0.2963289798799864,-0.06031542187968284,-0.05000015996241698,0.7132728215654438,49.39890710382514,-0.010672853828306284,-0.05496453900709213,-0.07021369385085038
ZPH,Healthcare,RED,1,0.36940077254255044,-0.3792225748672337,0.0004933645006630977,0.2114470189976092,-0.05691258149343773,76.92586550661592,0.048384209112881583,-0.1277649512176958,-0.20870916523090438
BOG,Technology,RED,1,0.39032065732552773,-0.2246043899948959,-0.060308048259218296,0.09484116401445504,0.43300599381745314,45.44037412314888,-0.07747582463784727,0.016980575569881605,0.023492494275294803
VCDY,Industrial,RED,1,0.39294473453649437,-0.43596010304511507,0.041297241267365906,-0.10796920795645504,-0.08467645842532492,56.80204487361545,0.008940363710250893,-0.07747329307942409,-0.10571814497973882
CPE,Healthcare,RED,1,0.3440357872358372,-0.2701557632398752,-0.03012666304659003,-0.015519029998801304,0.21094729751215366,41.799513644960825,-0.02676864244741864,-0.024113265983334634,0.009304453935326409
NB,Industrial,RED,1,0.25366574193778235,-0.20282901811564272,0.05471102668428784,-0.06192931117621066,0.8497503126891786,81.79758308157095,0.09229249011857711,0.08319451249387565,-0.05995407772769791
MCHL,Industrial,RED,1,0.3719317192614295,-0.32406329495968594,0.14270890369797318,-0.062022506391372134,1.3277406180459064,57.9555757026292,0.058149779735682854,-0.21139029942216772,-0.09207741155125483
DKS,Real Estate,GREEN,0,0.2028549600304982,-0.16713054103591068,-0.06474406244244972,-0.07385265587621195,1.4978434104024458,61.30669203932761,0.04112229599485975,0.02482475096189326,0.23001012145748978
XMU,Utilities,GREEN,0,0.2231637892668462,-0.09278926774734506,-0.008527227998493486,0.11916679796120101,1.681357234082435,43.53448275862071,0.018997361477572527,0.07099278979478639,0.1653590826795413
NC,Financial Services,GREEN,0,0.33699693712162376,-0.18418742826277795,0.01091479325690334,0.020812514770010233,0.6200495304252778,31.422924901185766,-0.1196654514261204,-0.06591322815533979,0.07245493337977887
RG,Technology,GREEN,0,0.28934330155171534,-0.15513147480432674,0.012702480923646904,0.09634395194482495,0.33373606223398444,60.10471204188481,0.03591733598050721,0.09167855444602949,0.06662330421854676
NG,Technology,GREEN,0,0.37262994568150265,-0.15144465639975838,-0.031883752707656664,0.09224201218905155,1.4757717731603752,69.25943176525382,-0.002803925495693983,-0.005741101292995885,0.05851714057932496
DGP,Utilities,GREEN,0,0.23641763876660302,-0.17508096780339077,0.018076980135497706,0.1020655620329911,0.2738559197886226,30.50359712230221,-0.046039404905508625,0.05047597963249947,-0.05871850823249343
NLY,Healthcare,GREEN,0,0.1875784355780383,-0.14877219493766455,-0.029161465849118065,0.004348286409635221,0.795748605055383,64.39060205580029,0.030732044198895046,-0.05155294304551589,0.005727762803234559
NSL,Utilities,GREEN,0,0.30952155621341104,-0.18330324909747264,0.08041086454806338,-0.0014632535614163343,0.09859302272743696,41.90101237345335,-0.03086419753086412,0.08716904276985746,0.11440501043841345
